V011,AP0001,AP0002,AP0003,AP0004,AP0005,AP0006,AP0007,AP0008,AP0009,AP0010,AP0011,AP012,AP0013,AP0014,AP015,AP0016,AP0019,AP0020,AP0062,DOMPRECDOMEXP,DOMPRECRESEXP,ADENSEXCDOMEXP,ADENSEXCRESEXP,ONUSEXCDOMEXP,ONUSEXCRESEXP,COABFAMDOMEXP,COABFAMRESEXP
3548906005008,11804,11233,23037,"44,76",10288,1998,35,10693,23,18919,"524,1312","51179,77",6551,0,6617,23134,6562,55,"1480,86","83,56","4550,42","130,78","7278,24","233,23","6703,8",492,"13804,11"
3548906005009,9598,10097,19695,"43,00",14847,804,113,3932,0,18052,"1028,8834",0,5563,0,6379,19880,6343,36,"2822,5542",0,0,"37,51","1530,99","231,05","5225,26",455,"13143,25"
3548906005010,6490,7123,13613,"51,84",11668,298,64,1574,10,12603,"1095,1595",0,4726,0,4783,13842,4752,31,"2847,6118","8,74","76,35","79,61","4522,83","237,25","6342,4",229,"6607,21"
3548906005011,6341,6711,13052,"43,79",11080,431,86,1439,16,12047,"2338,5693","12485,58",3341,281,4536,13178,4466,70,"6066,9201","9,11","166,11","22,9","1675,53","165,29","4215,44",135,"4383,16"
3548906005012,10373,10528,20901,"40,44",14018,1380,156,5315,31,18597,"974,4093","18368,91",5906,358,6297,21040,6279,19,"2791,8125","9,41","708,43","104,38","6228,21","262,1","6336,06",516,"13536,6"
3548906005013,7174,7060,14234,"45,29",9507,743,182,3752,50,12889,"1246,495","9953,05",4205,124,4728,14392,4641,87,"3322,5269","39,91","3227,47","95,86","4908,49","370,54","9885,88",241,"7422,26"
3548906005014,7092,6634,13726,"44,05",8896,606,125,4099,0,11792,"1194,6817","84296,4",3906,219,4320,13840,2211,2109,"3251,8439","100,81","5980,75","23,55","1112,03","28,72","870,18",250,"8739,72"
3549805005001,7145,9320,16465,"49,92",14955,236,349,822,0,15644,"3230,6205",0,1075,20,7287,16662,3917,3369,"6874,341","17,87","247,66","11,04","487,35","334,56","7688,02",76,"1669,83"
3549805005002,7853,9425,17278,"47,73",14798,484,212,1777,6,16245,"1544,3189","187026,48",5711,0,6454,17425,5987,467,"3916,108","13,16","201,13","28,43","1577,2","495,42","10529,59",301,"7818,37"
3549805005003,7100,7805,14905,"48,57",11291,532,64,2994,24,13626,"950,0758",0,4376,0,5019,15110,4962,56,"2519,8109",0,0,"59,32","2807,82","261,16","6903,79",296,"8377,14"
3549805005004,7263,7726,14989,"43,17",12260,219,199,2311,0,13910,"1181,861",0,4585,68,4902,15162,4764,138,"3214,174",0,0,"43,04","1992,3","171,57","4634,76",187,"5835,95"
3549805005005,7548,8611,16159,"50,38",13785,432,143,1798,0,14805,"1386,7529",0,4546,10,5793,16417,5536,257,"3507,1345",0,0,"89,61","4945,02","460,98","12035,56",247,"6838,35"
3549805005006,6794,7881,14675,"46,07",12340,331,191,1795,19,13648,"1599,4732",0,2226,395,5755,14776,4968,787,"3687,2122","6,28","78,76","25,37","2850,86","310,82","8178,24",196,"7492,34"
3549805005007,7909,9073,16982,"43,11",15387,293,338,964,0,16090,"2851,5923",0,2538,1065,5995,17189,5370,624,"7337,0953",0,0,"8,63","521,93","285,51","5733,98",177,"4210,59"
3549805005008,8628,9698,18326,"46,04",15923,432,249,1722,0,17205,"1478,2573","9219,71",5068,0,6603,18562,5997,606,"3776,5823","29,91","1290,61","67,95","4125,31","342,9","9314,19",320,"10924,08"
3549805005009,9117,10559,19676,"47,11",15348,803,505,2943,10,18258,"1286,8614","13509,12",6176,8,7405,19918,6852,553,"3137,6999","15,36","477,79","43,06","2179,6","637,79","13363,38",344,"8970,06"
3549805005010,6462,7108,13570,"43,83",11169,285,214,1902,0,12701,"1247,5509",0,3722,126,4677,13696,4647,30,"3264,161",0,0,"18,79","717,2","179,45","4762,98",174,"5792,99"
3549805005011,10995,11717,22712,"47,17",16500,1016,201,4984,10,20210,"880,943",0,6987,0,7614,22997,7486,128,"2318,577","9,41","88,51","72,4","5261,76","451,25","11484,49",427,"10555,38"
3549805005012,8072,8258,16330,"42,62",11938,472,21,3899,0,14547,"935,4061",0,4736,312,5209,16434,4701,508,"2469,6903","10,41","433,38","30,11","1999,12","141,6","3867,07",289,"9786,45"
3549805005013,10612,11232,21844,"48,05",14375,1234,87,6128,21,19030,"731,598",0,6547,0,6571,22064,6515,56,"2096,4715",0,0,"143,51","8250,38","333,04","13267,71",763,"25828,46"
3549805005014,7314,7648,14962,"40,75",9770,851,53,4273,15,13287,"808,437",0,4567,83,4866,15036,4546,320,"2160,5632","11,15","372,97","48,95","1739,11","235,11","5814,69",276,"7252,04"
3549805005015,8134,8569,16703,"45,71",11303,628,70,4693,9,14743,"668,836",0,5105,0,5105,16796,5092,13,"1898,7559",0,0,"73,71","4321,5","151,94","4796,2",372,"10387,13"
3549805005016,8753,9022,17775,"47,85",10171,1170,100,6323,12,15304,"582,8615",0,5094,0,5094,17840,5094,0,"1688,2889",0,0,"90,32","4844,96","207,3","7199,7",495,"14286,07"
3549805005017,8073,8105,16178,"44,24",11310,510,37,4303,20,14328,"832,0693",0,5049,0,5109,16272,5064,45,"2255,2636","16,1","317,1","52,41","3471,29","200,83","4978,55",245,"8752,25"
3549805005018,11169,12863,24032,"46,46",19207,809,393,3587,37,22238,"1201,465","34138,92",7409,0,8789,24243,8228,561,"2992,5902","32,85","636,53","106,96","5340,9","591,96","15337,27",454,"11362,42"
3549805005019,5995,6694,12689,"40,78",10080,403,324,1875,8,11964,"1517,3223",0,3890,22,4346,12789,4176,170,"4078,9146",0,0,"38,59","1685,46","208,8","4998,09",235,"5704,76"
3549805005020,12307,12832,25139,"47,92",17068,1261,146,6639,26,22055,"813,5258","13040,92",7601,0,7731,25402,7535,196,"2279,1475","31,26","830,36","93,42","5263,54","309,58","7802,16",536,"16224,74"
3549805005021,10267,10735,21002,"46,47",18169,397,147,2278,10,19192,"2355,149","2247,18",5041,1232,6825,21160,5717,1108,"6310,1366","11,24","126,25","6,11","186,9","102,83","2733,58",256,"7279,86"
3549805005022,9461,8253,17714,"47,64",11457,781,106,5164,10,15158,"691,7268",0,4514,599,6398,17889,1278,5121,"1893,2617","37,31","926,38","68,45","3968,51","34,77",1268,337,"11915,93"
3549805005023,9045,9108,18153,"44,87",13173,668,77,4234,0,15769,"793,1902","3007,42",5325,225,5771,18361,3402,2370,"2195,9704","32,13","889,62","172,25","15034,97","240,92","7248,67",377,"14171,98"
